"idvehiculo","dominio","clase","marca","modelo","kilometros","estado","propiedad","franquicia_danios","franquicia_vuelco","precio","codigo_radio","foto_path","foto_base_url","venc_rto","venc_matafuego","venc_cverde","km_distribucion","fecha_distribucion","km_aceite","fecha_aceite","nota"
"46","AF013SV","4","FIAT","CRONOS","0","0","0","950000","4500000","2500000",NULL,"/1/xvmePAnwIgZSr15vgT7QjIRZ3BuVlcBC.jpg","https://classicrentacar.com.ar/storage/web/source","1728183600","1713927600","1737169200",NULL,NULL,"105000","1759374000",NULL
"47","AA448QT","3","CHEVROLET","COBALT",NULL,"1","1","400000","800000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"48","AF096NZ","7","NISSAN ","VERSA",NULL,"1","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"49","AF 688 XS","4","FIAT ","CRONOS","0","0","0","950000","4000000","4100000",NULL,"/1/CEyPZQyjyHF8oIn7XIg2PbqBCwfbnWZJ.jpg","https://classicrentacar.com.ar/storage/web/source","1764471600",NULL,"1732849200",NULL,NULL,NULL,NULL,NULL
"50","AF 688 XT","4","FIAT ","CRONOS","0","0","0","900000","4000000","4200000",NULL,"/1/1gpd2GEtD33gem0XRaAfaDGWpWo4wfHj.jpg","https://classicrentacar.com.ar/storage/web/source","1764471600","1713927600","1732417200",NULL,NULL,"116000","1758164400",NULL
"51",".","13",".",".",NULL,"1","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"52","AG004JD","5","PEUGEOT ","208",NULL,"1","1","900000","1950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"53","AF808PD","4","FIAT ","CRONOS",NULL,"1","1","500000","1450000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54","AD 257 MY","0","CHEVROLET","ONIX 1.4 JOY 5 PTAS",NULL,"0","0","900000","4000000",NULL,"5223",NULL,NULL,"1751857200",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"55","AG140AH","10","TOYOTA ","HILUX 4X4 DOBLE CABINA",NULL,"1","1","4000000","12000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52000",NULL,NULL,NULL,NULL
"56","AG679ZI","6","RENAUT"," SANDERO 5 PUERTAS",NULL,"1","1","1200000","5000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
